Entity1,Relation,Entity2
12. urinalysis,Used to diagnose,ureteral obstruction
13. urinalysis,Ordered for,hypovolemic hyponatremia
14. urine culture,Used to diagnose,urinary tract infections
15. urine culture,Used to diagnose,ureteral obstruction
16. PABA,Similar to,sulfonamides
17. sulfonamides,Produced by attaching substituents to,amido group
18. sulfonamides,Produced by attaching substituents to,amino group
19. sulfonamides,More soluble at,alkaline pH
20. sulfonamides,Used as,sodium salts
21. sulfonamides,Administered via,intravenous
22. atenolol,Used to treat,hypertension
23. spironolactone,Used to treat,hypertension
24. lovastatin,Used to treat,hypercholesterolemia
25. hypertension,Complicated by,kidney stones
26. kidney stones,Complicated by,hypercholesterolemia
27. kidney stones,Managed with,liquid intake
28. hypovolemic hyponatremia,Treated with,intravenous DDAVP
29. hypovolemic hyponatremia,Treated with,intravenous half-normal saline
30. hypovolemic hyponatremia,Treated with,intravenous normal saline
31. hypovolemic hyponatremia,Complicated by,prerenal reduction in GFR
32. hypovolemic hyponatremia,Complicated by,increased serum creatinine
33. GFR,Reduced in,hypovolemic hyponatremia
34. GFR,Reduced in,hepatic bile flow suppression
35. hepatic bile flow,Suppressed by,CBD stones
36. jaundice,Caused by,reabsorption of conjugated bilirubin
37. jaundice,Accompanied by,dark urine
38. jaundice,Accompanied by,light-colored stools
39. CBD stones,Complicated by,cholecystitis
40. CBD stones,Complicated by,choledocholithiasis
41. CBD stones,Complicated by,neoplastic obstruction
42. serum bilirubin,Elevated in,CBD stones
43. serum bilirubin,Elevated in,choledocholithiasis
44. serum bilirubin,Elevated in,neoplastic obstruction
45. alkaline phosphatase,Elevated in,biliary obstruction
46. alkaline phosphatase,Elevated in,neoplastic obstruction
47. pancreatitis,Complicated by,biliary tract disease
48. pancreatitis,Complicated by,cholecystitis
49. pancreatitis,Complicated by,choledocholithiasis
50. biliary tract disease,Complicated by,pancreatitis
51. biliary tract disease,Complicated by,cholecystitis
52. biliary tract disease,Complicated by,choledocholithiasis
53. ureteral stricture,Complicated by,UTI
54. ureteral obstruction,Complicated by,UTI
55. ureteral stent,Used to treat,ureteral obstruction
56. percutaneous nephrostomy tube,Used to treat,ureteral obstruction
57. muscular pain,Misdiagnosed as,ureteral obstruction
58. skeletal pain,Misdiagnosed as,ureteral obstruction
59. herpes zoster,Misdiagnosed as,ureteral obstruction
60. duodenal ulcer,Misdiagnosed as,ureteral obstruction
61. abdominal aortic aneurysm,Misdiagnosed as,ureteral obstruction
62. gynecologic conditions,Misdiagnosed as,ureteral obstruction
63. ureteral compression,Complicated by,extraluminal processes
64. renal colic,Caused by,ureteral obstruction
65. serum chemistry,Used to diagnose,ureteral obstruction
66. white blood cell count,Elevated in,ureteral obstruction
67. urinalysis,Used to diagnose,ureteral obstruction
68. red blood cells,Present in,urine
69. white blood cells,Present in,urine
70. crystals,Present in,urine
71. helical CT,Used to diagnose,ureteral obstruction
72. helical CT,Used to avoid,radiocontrast
73. abdominal radiograph,Used to diagnose,ureteral obstruction
74. KUB,Used to diagnose,ureteral obstruction
75. pancreatitis,Complicated by,biliary tract disease
76. calcium oxalate stones,Diagnosed by,urine sediment
77. cystine stones,Diagnosed by,urine sediment
78. sclera,Discolored by,jaundice
79. liver function,Abnormal in,CBD stones
80. liver function,Abnormal in,choledocholithiasis
81. liver function,Abnormal in,neoplastic obstruction
82. ALT,Elevated in,CBD stones
83. ALT,Elevated in,choledocholithiasis
84. AST,Elevated in,CBD stones
85. AST,Elevated in,choledocholithiasis
86. bilirubin,Elevated in,CBD stones
87. bilirubin,Elevated in,choledocholithiasis
88. prothrombin time,Prolonged in,CBD stones
89. bicarbonate,Reduced in,CBD stones
90. bicarbonate,Reduced in,choledocholithiasis
91. glomerular filtration rate,Reduced in,CBD stones
92. glomerular filtration rate,Reduced in,choledocholithiasis
93. serum creatinine,Elevated in,CBD stones
94. serum creatinine,Elevated in,choledocholithiasis
95. blood urea nitrogen,Elevated in,CBD stones
96. blood urea nitrogen,Elevated in,choledocholithiasis
97. blood glucose,Reduced in,CBD stones
98. blood glucose,Reduced in,choledocholithiasis
99. acetaminophen,Present in,plasma
100. plasma,Analyzed for,liver function
101. serum titer,Analyzed for,liver function
"Lelunomide) prescribing information
68. Sebela Pharmaceuticals",Relation: published,Pexeva (Paroxetine
convulsions,CAUSES,intoxication
intoxication,TREATED_BY,symptomatic treatment
organochlorine pesticides,CAUSES,carcinogenic properties
coronary arteries,AFFECTED_BY,myocardial infarction
myocardial infarction,TREATED_BY,coronary artery bypass graft
electrocardiogram (ECG),USED_FOR,diagnosis of myocardial infarction
atrial fibrillation,TREATED_BY,dofetilide or amiodarone
catheter ablation,USED_FOR,treatment of atrial fibrillation
diabetes,COMPLICATED_BY,chronic kidney disease
chronic kidney disease,COMPLICATED_BY,hypertension
furosemide,USED_FOR,treatment of hypertension
hydrochlorothiazide,USED_FOR,treatment of hypertension
furosemide,CAUSED,acute kidney injury
hydrochlorothiazide,CAUSED,acute kidney injury
acute kidney injury,CAUSED_BY,fluid overload
fluid overload,CAUSED_BY,hypertension
hypertension,CAUSED_BY,heart failure
heart failure,CAUSED_BY,cardiac output reduction
cardiac output,REDUCED_BY,coronary artery disease
coronary artery disease,CAUSED,heart failure
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
adrenoceptors,BLOCKED,by certain drugs
central nervous system (CNS),AFFECTED_BY,dopamine receptors
diagnostic work-up,USED_FOR,evaluation of chest discomfort
chest discomfort,CAUSED_BY,esophageal reflux
esophageal reflux,CAUSED_BY,cervical disk disease
cervical disk disease,CAUSED_BY,arthritis of the shoulder or spine
arthritis of the shoulder or spine,CAUSED_BY,musculoskeletal disorders
musculoskeletal disorders,CAUSED_BY,gastrointestinal conditions
gastrointestinal conditions,CAUSED_BY,anxiety state
anxiety state,CAUSED,palpitations
palpitations,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
blood pressure,REDUCED,by antihypertensive drugs
heart rate,REDUCED,by antihypertensive drugs
fluid volume,AFFECTED_BY,hypertension
electrolyte composition,AFFECTED_BY,hypertension
heart failure,TREATED_BY,antihypertensive drugs
cardiac output,REDUCED,by heart failure
coronary artery disease,CAUSED,heart failure
hypertension,CAUSED,heart failure
heart failure,CAUSED,coronary artery disease
systolic failure,CAUSED,reduced contractility
diastolic failure,CAUSED,stiffening and loss of relaxation
palpitations,CAUSED_BY,rapid heartbeat
rapid heartbeat,CAUSED_BY,catecholamines
catecholamines,INCREASED,blood pressure and heart rate
"CSF) analysis
10. Encephalitis",is diagnosed by,Cerebrospinal Fluid (CSF
"PCR)
17. Viral respiratory pathogens",are diagnosed by,"Rapid viral antigen detection
18. M. pneumoniae, is diagnosed by, Mycoplasma PCR
19. M. pneumoniae, is diagnosed by, Cold agglutinins
20. CMV, is diagnosed by, Culture
21. Enterovirus, is diagnosed by, Culture
22. M. tuberculosis, is diagnosed by, Tuberculin skin test
23. M. tuberculosis, is diagnosed by, Serum interferon-gamma release assay
24. M. tuberculosis, is diagnosed by, Analysis of sputum or gastric aspirates
25. Empyema, is diagnosed by, Thoracentesis
26. Parapneumonic effusion, is diagnosed by, Thoracentesis
27. Empyema, is differentiated from, Parapneumonic effusion
28. Bone infection, presents with, Localized bone pain and tenderness
29. Bone infection, presents with, Systemic symptoms (fevers, chills"
CRP),is used to assess,"Acute-phase response
2. Erythrocyte sedimentation rate (ESR"
CSF) analysis,is performed on,Cerebrospinal Fluid (CSF
PCR),is performed on,"Sputum
5. Rapid viral antigen detection, is performed on, Sputum
6. Mycoplasma PCR, is performed on, Sputum
7. Tuberculin skin test, is performed on, Skin
8. Serum interferon-gamma release assay, is performed on, Blood
9. Analysis of sputum or gastric aspirates, is performed on, Sputum
10. Thoracentesis, is performed on, Pleural fluid

**Medical Conditions and Anatomical Locations:**

1. Meningitis, affects, Cerebrospinal Fluid (CSF"
"SIAD).
25. Syndrome of inappropriate antidiuresis (SIAD)",is a complication of,"Small-cell lung cancer.
26. Small-cell lung cancer, is a cause of, Hyponatremia.
27. Hyponatremia, is a complication of, Creatine.
28. Creatine, is an osmolyte, Hyponatremia.
29. Betaine, is an osmolyte, Hyponatremia.
30. Glutamate, is an osmolyte, Hyponatremia.
31. Myoinositol, is an osmolyte, Hyponatremia.
32. Taurine, is an osmolyte, Hyponatremia.
33. Palpitations, is a symptom of, Rapid heartbeat.
34. Headaches, is a symptom of, Rapid heartbeat.
35. Sweats, is a symptom of, Rapid heartbeat.
36. Blood pressure, is affected by, Catecholamines.
37. Heart rate, is affected by, Catecholamines.
38. Abdominal palpation, is a cause of, Catecholamines.
39. Catecholamines, are affected by, α1 receptors.
40. α1 receptors, are affected by, Catecholamines.
41. α2 receptors, are affected by, Catecholamines.
42. β receptors, are affected by, Catecholamines.
43. Candida thrush, is a complication of, HIV.
44. HIV, is a cause of, Candida thrush.
45. Nystatin, is a treatment for, Candida thrush.
46. TMP-SMX, is a treatment for, Pneumocystis jiroveci.
47. MAI, is a cause of, Infection.
48. Clarithromycin, is a treatment for, MAI.
49. Azithromycin, is a treatment for, MAI.
50. Pregnancy, is a risk factor for, Vesicoureteral reflux.
51. Vesicoureteral reflux, is a complication of, Pregnancy.
52. Anatomic anomalies, is a risk factor for, Vesicoureteral reflux.
53. Indwelling catheters, is a risk factor for, Vesicoureteral reflux.
54. Kidney stones, is a complication of, Vesicoureteral reflux.
55. Lyme disease, is a cause of, Osler’s nodes.
56. Osler’s nodes, is a symptom of, Lyme disease.
57. Splinter hemorrhages, is a symptom of, Lyme disease.
58. Janeway lesions, is a symptom of, Lyme disease.
59. Roth’s spots, is a symptom of, Lyme disease.
60. Parvovirus B19, is a cause of, Erythema infectiosum.
61. Taenia solium, is a cause of, Cysticercosis.
62. Cysticercosis, is a complication of, Taenia solium.
63. Pregnant women, are at risk for, Toxoplasmosis.
64. Pets, are a risk factor for, Toxoplasmosis.
65. Alcoholic, is a risk factor for, Pneumonia.
66. Pneumonia, is caused by, Gram-negative rods.
67. Monoarticular joint pain, is a symptom of, Meningococcemia.
68. Meningococcemia, is a cause of, Petechial rash.
69. Rocky Mountain spotted fever (RMSF"
bleeding,associated_with,intrauterine growth restriction
bleeding,associated_with,preterm premature rupture of membranes
bleeding,associated_with,placental abruption
bacterial vaginosis,causes,spontaneous abortion
bacterial vaginosis,treated_by,treatment
inevitable abortion,characterized_by,crampy lower abdominal pain
inevitable abortion,characterized_by,cervical motion or adnexal tenderness
inevitable abortion,requires,medical or surgical management
blood type,obtained_for,medical or surgical management
Rh determination,obtained_for,medical or surgical management
complete blood count,obtained_for,medical or surgical management
Rh0(D) immune globulin,given_for,medical or surgical management
RhoGAM,given_for,medical or surgical management
pelvic ultrasound,used_for,spontaneous abortion diagnosis
pelvic ultrasound,used_for,anembryonic gestation diagnosis
pelvic ultrasound,used_for,embryonic demise diagnosis
anembryonic gestation,characterized_by,absence of embryonic pole
anembryonic gestation,characterized_by,absence of cardiac activity
embryonic demise,characterized_by,absence of cardiac activity
embryonic demise,characterized_by,crown-rump length greater than 5 mm
threatened abortion,characterized_by,vaginal bleeding
threatened abortion,requires,ultrasound documentation of fetal cardiac activity
threatened abortion,may_be_associated_with,poor outcomes
cervical polyps,considered_in_differential_diagnosis,threatened abortion
vaginitis,considered_in_differential_diagnosis,threatened abortion
cervical carcinoma,considered_in_differential_diagnosis,threatened abortion
gestational trophoblastic disease,considered_in_differential_diagnosis,threatened abortion
ectopic pregnancy,considered_in_differential_diagnosis,threatened abortion
trauma,considered_in_differential_diagnosis,threatened abortion
foreign body,considered_in_differential_diagnosis,threatened abortion
fetal cardiac activity,offers_prognostic_value,pregnancy outcome
fetal cardiac activity,affected_by,underlying diagnosis
fetal cardiac activity,detected_by,transvaginal ultrasonography
antiphospholipid antibodies,associated_with,recurrent pregnancy loss
antiphospholipid antibodies,associated_with,fetal cardiac activity
fetal distress,characterized_by,bradycardia
fetal distress,characterized_by,tachycardia
fetal distress,requires,emergent cesarean section
amniotic sac rupture,may_result_in,umbilical cord prolapse
amniotic sac rupture,may_result_in,fetal compromise
strong contractions,associated_with,true labor
pregnancy-induced hypertension,associated_with,preterm labor
pregnancy-induced hypertension,associated_with,gestational diabetes
pregnancy-induced hypertension,associated_with,congenital heart disease
pregnancy-induced hypertension,associated_with,placental abnormalities
pregnancy-induced hypertension,requires,focused prenatal history-taking
fetal movement,important_for,pregnancy evaluation
gestational age,important_for,pregnancy evaluation
gestational age,estimated_by,fundal height
utering rupture,may_result_in,discrepancy in dates and size
utering rupture,may_result_in,hemorrhage
abdominopelvic trauma,evaluated_by,ultrasound
abdominopelvic trauma,evaluated_by,DPL
fetal heart rate,most_valuable_information,fetal viability
fetal heart rate,monitored_by,cardiotocographic device
fetal heart rate,monitored_by,bedside FAST ultrasound
fetal heart rate,abnormal_values,tachycardia or bradycardia
fetal distress,requires,emergent cesarean section
vaginal bleeding,may_signal,early cervical dilation and labor
vaginal bleeding,may_signal,abruptio placentae
vaginal bleeding,may_signal,placenta previa
strong contractions,associated_with,true labor
strong contractions,requires,consideration of delivery and resuscitation
pregnancy-induced hypertension,associated_with,preterm labor
pregnancy-induced hypertension,associated_with,gestational diabetes
pregnancy-induced hypertension,associated_with,congenital heart disease
pregnancy-induced hypertension,associated_with,placental abnormalities
pregnancy-induced hypertension,requires,focused prenatal history-taking
fetal movement,important_for,pregnancy evaluation
gestational age,important_for,pregnancy evaluation
gestational age,estimated_by,fundal height
utering rupture,may_result_in,discrepancy in dates and size
utering rupture,may_result_in,hemorrhage
abdominopelvic trauma,evaluated_by,ultrasound
abdominopelvic trauma,evaluated_by,DPL
fetal heart rate,most_valuable_information,fetal viability
fetal heart rate,monitored_by,cardiotocographic device
fetal heart rate,monitored_by,bedside FAST ultrasound
fetal heart rate,abnormal_values,tachycardia or bradycardia
fetal distress,requires,emergent cesarean section
vaginal bleeding,may_signal,early cervical dilation and labor
vaginal bleeding,may_signal,abruptio placentae
vaginal bleeding,may_signal,placenta previa
strong contractions,associated_with,true labor
strong contractions,requires,consideration of delivery and resuscitation
pregnancy-induced hypertension,associated_with,preterm labor
pregnancy-induced hypertension,associated_with,gestational diabetes
pregnancy-induced hypertension,associated_with,congenital heart disease
pregnancy-induced hypertension,associated_with,placental abnormalities
pregnancy-induced hypertension,requires,focused prenatal history-taking
fetal movement,important_for,pregnancy evaluation
gestational age,important_for,pregnancy evaluation
gestational age,estimated_by,fundal height
utering rupture,may_result_in,discrepancy in dates and size
