Entity1,Relation,Entity2
Thomas Orville Seaver,serves in,U.S. Army
U.S. Army,awards,"Medal of Honor, Thomas Orville Seaver"
Katie Louise Volding,is a,actress
Katie Louise Volding,is nominated for,Young Artist Award
Katie Louise Volding,performs in,Smart House
Smart House,is a,Disney Channel Original Movie
Ryan Merriman,is a,actor
Ryan Merriman,performs in,Smart House
Fred Smart House,is a,historic home
Fred Smart House,is located at,"Lacona, Oswego County, New York"
Home automation,is related to,smart home
Home automation,is related to,smart house
Home automation,involves,"control of, lighting"
Home automation,involves,"control of, heating"
Home automation,involves,"control of, ventilation"
Home automation,involves,"control of, air conditioning"
Home automation,involves,"control of, security"
Home automation,involves,"control of, appliances"
Wi-Fi,is used for,remote monitoring
Wi-Fi,is used for,remote control
Home devices,are remotely monitored and controlled via,Internet
Home devices,are a constituent of,Internet of Things
Ryan Earl Merriman,is an,actor
Ryan Earl Merriman,begins his career at,age 10
Ryan Earl Merriman,performs in,several feature films and television shows
Irene Balogh Smart,is a,politician
Irene Balogh Smart,is a member of,Ohio General Assembly
Irene Balogh Smart,is a graduate of,Wittenberg University
Irene Balogh Smart,is a graduate of,Harvard University
Irene Balogh Smart,is a graduate of,William McKinley School of Law
Irene Balogh Smart,defeats,Ross Heintzelman
Irene Balogh Smart,is reelected,in 1974
Irene Balogh Smart,is reelected,in 1976
defeated,"in an election)
2. Smart","Ohio House of Representatives, (ran for"
"won reelection)
4. Burton Rascoe",Groff Conklin,"(co-editors of, The Smart Set Anthology"
"published)
6. Halcyon House",The Smart Set Anthology,(reprinted
"reissued)
8. Grayson",The Bachelor's Companion,(reissued
"involved in editorial capacity)
10. Groff Conklin",science fiction,(anthologized
"founder of)
12. David L. Bach",Finish Rich Book Series,(author of
"author of)
14. David L. Bach",New York Times,(bestseller on
"bestseller on)
16. David L. Bach",USA Today,(bestseller on
"published by)
18. David L. Bach",Broadway Books,(published by
"published by)
20. Edmond Ellison Smart",Edmond Ellison Smart House,(owner of
"located in)
22. Edmond Ellison Smart House",Vernon Parish,(located in
"listed on)
24. J. Scott Smart",John Kenley Tener Smart,(also known as
"also known as)
26. J. Scott Smart",American radio,"film and stage actor, (was"
"part of)
28. The Eau Claire Commissioners",Major League Baseball,(played in
"played for)
30. Jack Kading",The Eau Claire Commissioners,(played for
"played for)
32. The Superior Red Sox",Minnesota–Wisconsin League,(part of
"part of)
34. The Superior Red Sox",Northern League,(part of
"managed by)
36. Dave Bancroft",The Superior Red Sox,(played for
"played for)
38. John Paul ""Jack"" Fox",Class-C Poughkeepsie Colts,(played for
"played for)
40. John Paul ""Jack"" Fox",Class-A Jersey City Skeeters,(played for
"played for)
42. John Paul ""Jack"" Fox",Class-B Wilkes-Barre Barons,(played for
"played for)
44. John Paul ""Jack"" Fox",Class-A Lincoln Railsplitters,(played for
"played for)
46. John Paul ""Jack"" Fox",Class-D Bradford Drillers,(played for
"played for)
48. John Paul ""Jack"" Fox",Major League Baseball,(played in
"PLoS) Blogs
5. John Rennie",is a deputy editor on the staff of,"Quanta Magazine
6. Philippe Ascher, is a professor emeritus at, Université Paris Diderot
7. Philippe Ascher, won the Richard Lounsbery Award with, Henri Korn
8. Henri Korn, won the Richard Lounsbery Award with, Philippe Ascher
9. Henri Korn, is a neuroscientist with, Pasteur Institute
10. Breit–Wheeler process, is a physical process in, theoretical physics
11. Breit–Wheeler process, is a process in which, photons collide
12. Breit–Wheeler process, results in the creation of, positron–electron
13. Quanta Magazine, is an editorially independent online publication of, Simons Foundation
14. Quanta Magazine, covers developments in, mathematics
15. Quanta Magazine, covers developments in, theoretical physics
16. Quanta Magazine, covers developments in, theoretical computer science
17. Quanta Magazine, covers developments in, life sciences
18. Quanta Magazine, has been reprinted in, Scientific American
19. Quanta Magazine, has been reprinted in, Wired
20. Quanta Magazine, has been reprinted in, The Atlantic
21. Quanta Magazine, has been reprinted in, Spektrum der Wissenschaft
22. Undark Magazine, described, Quanta Magazine as highly regarded
23. RealClearScience, ranked, Quanta Magazine No. 2 on its list of The Top 10 Websites for Science in 2016
24. Thomas Lin, is the founding editor-in-chief of, Quanta Magazine
25. John Rennie, is an editor of, Quanta Magazine
26. Michael Moyer, is an editor of, Quanta Magazine
27. Natalie Wolchover, is an editor of, Quanta Magazine
28. Kevin Hartnett, is an editor of, Quanta Magazine
29. Olena Shmahalo, is an editor of, Quanta Magazine
30. Lucy Reading-Ikkanda, is an editor of, Quanta Magazine
31. Jeanette Kazmierczak, is an editor of, Quanta Magazine
32. Henri Korn, furthered knowledge regarding the properties of, glutamate receptors
33. Henri Korn, brought to light the elementary liberation of neurotransmitter in quanta form in the, central nervous system of vertebrates
34. Savoy Ballroom, was a venue for, Lindy Hop
35. Dean Collins, danced, Lindy Hop
36. Dean Collins, choreographed, Lindy Hop
37. Acrobatic Rock'n'Roll, originated from, Lindy Hop
38. Lindy's Sports, is a sports magazine
39. Lindy's Sports, is located in, Birmingham, Alabama
40. Red Wing Manufacturers, played in, Red Wing, Minnesota
41. Red Wing Manufacturers, played in, Minnesota–Wisconsin League
42. John Rennie, was born in, 1959
43. John Rennie, left, Scientific American in, 2009
44. Quanta Magazine, was launched as, Simons Science News in, October 2012
45. Quanta Magazine, was renamed in, July 2013
46. Quanta Magazine, was redesigned and rebranded in, May 2017
47. Henri Korn, won the Richard Lounsbery Award in, 1992
48. Philippe Ascher, won the Richard Lounsbery Award in, 1992
49. Henri Korn, is a neuroscientist with, Pasteur Institute
50. Rapid single flux quantum (RSFQ"
Birmingham,located_in,Alabama
Birmingham,uses,Josephson junctions
Josephson junctions,used_in,RSFQ
RSFQ,is_a_family_of,SFQ logic
RSFQ,is_a_family_of,RQL
RQL,is_a_family_of,ERSFQ
ERSFQ,is_a_family_of,RSFQ
Josephson junctions,are_active_elements_for,RSFQ electronics
Josephson junctions,are_active_elements_for,semiconductor electronics
University of Alabama,employed,"James Marcus ""Lindy"" Hood"
University of Alabama,had_player,"James Marcus ""Lindy"" Hood"
"James Marcus ""Lindy"" Hood",was_player_for,University of Alabama
"James Marcus ""Lindy"" Hood",inducted_into,Alabama Sports Hall of Fame
Nicolas Mahut,played_with,Sergiy Stakhovsky
Nicolas Mahut,lost_to,Jonathan Erlich
Nicolas Mahut,lost_to,Rajeev Ram
Elena Olegovna Bovina,born_in,Russia
Elena Olegovna Bovina,reached_ranking,World No
Elena Olegovna Bovina,defeated,Clarisa Fernández
Elena Olegovna Bovina,defeated,Jelena Dokic
Elena Olegovna Bovina,defeated,Stéphanie Foretz
Elena Olegovna Bovina,defeated,Francesca Schiavone
Elena Olegovna Bovina,lost_to,Lindsay Davenport
Sonchat Ratiwatana,born_in,Bangkok
Sonchat Ratiwatana,played_with,Sanchai Ratiwatana
Sonchat Ratiwatana,won_title,ATP doubles title
Sonchat Ratiwatana,beat,Michaël Llodra
Sonchat Ratiwatana,beat,Nicolas Mahut
Sonchat Ratiwatana,played_at,Australian Open
Sonchat Ratiwatana,lost_to,Arnaud Clément
Sonchat Ratiwatana,lost_to,Michaël Llodra
Nicolas Mahut,born_in,France
Nicolas Mahut,played_with,Sanchai Ratiwatana
Nicolas Mahut,won_title,ATP doubles title
Nicolas Mahut,beat,Michaël Llodra
Nicolas Mahut,beat,Jonathan Erlich
Nicolas Mahut,beat,Rajeev Ram
Nicolas Mahut,played_at,Australian Open
Nicolas Mahut,lost_to,Arnaud Clément
Nicolas Mahut,lost_to,Michaël Llodra
John Robert Isner,born_on,April 26
John Robert Isner,is_ranked,world No
John Robert Isner,won_title,US Open
John Robert Isner,won_title,Wimbledon
John Robert Isner,played_at,ATP World Tour
John Robert Isner,served_more_than,5000 aces
John Robert Isner,reached_ranking,world No
John Robert Isner,reached_ranking,world No
John Robert Isner,is_ranked,world No
John Robert Isner,is_ranked,world No
Cheyenne Regional Airport Board,owns,"County, Wyoming"
Susquehanna Area Regional Airport Authority (SARAA),governing authority of,Harrisburg International Airport
Susquehanna Area Regional Airport Authority (SARAA),governing authority of,Capital City Airport
Susquehanna Area Regional Airport Authority (SARAA),governing authority of,Franklin County Regional Airport
Susquehanna Area Regional Airport Authority (SARAA),governing authority of,Gettysburg Regional Airport
Lea County Government,owns,Lea County Regional Airport
Lea County Government,operates,Lea County Regional Airport
Lea County Government,owns,Lovington Airport
Lea County Government,owns,Jal Airport
Town of Carrabassett Valley,owns,Sugarloaf Regional Airport
Elizabeth City Regional Airport,located near,Elizabeth City
Elizabeth City Regional Airport,located in,Pasquotank County
Elizabeth City Regional Airport,located near,Pasquotank River
Crater Lake–Klamath Regional Airport,owned by,Klamath County
Mecklenburg County Park and Recreation,operates,Ray's Splash Planet
Mecklenburg County,funds,Ray's Splash Planet
Johnson & Wales University,near,Ray's Splash Planet
Charlotte-Mecklenburg Schools,partner of,Mecklenburg County Park and Recreation
Mecklenburg County Park and Recreation,partner of,Charlotte-Mecklenburg Schools
Carowinds,competitor of,Ray's Splash Planet
Great Wolf Lodge,competitor of,Ray's Splash Planet
Wet 'n Wild Emerald Pointe,competitor of,Ray's Splash Planet
Ocean Water Park,located in,Kish Island
Ocean Water Park,located in,Iran
"not specified)
41. Dash N Splash",closed,(not specified
"1981 film adaptation)
5. The House of Mirth",Adapted from,"Edith Wharton
6. The House of Mirth (1981 film"
1981 film),Part-funded by,"National Endowment for the Humanities
8. The House of Mirth (1981 film"
"Comiket 82)
33. A manga adaptation",Adapted from,"Gaku Ou: The Royal Seven Stars
34. The House of Mirth (1981 film"
"1981 film)
36. Lily Bart",Character,The House of Mirth (1981 film
"Kinu to Meisatsu)
2. Yukio Mishima",Author,Silk and Insight (Kinu to Meisatsu
"WWF) headquarters
17. World Wide Fund for Nature (WWF)",has its headquarters,"in Chubachu
18. World Wide Fund for Nature (WWF"
Mungindi,located_in,New South Wales
Mungindi,located_in,Queensland
Mungindi,borders,New South Wales
Mungindi,borders,Queensland
Mungindi,straddles,Barwon River
Mungindi,located_on,Carnarvon Highway
Mungindi,has_postcode,New South Wales
Mungindi,has_population,738
Thallon,has_population,382
Thallon,includes,Mungindi
Thallon,located_in,Queensland
Merimbula,located_on,Merimbula Lake
Merimbula,located_in,New South Wales
Merimbula,located_in,Far South Coast
Merimbula,located_in,Sapphire Coast
Steph Amair,named,Merimbula
Steph Amair,referred_to_as,The Beautiful Sapphire
Blueys Beach,located_in,Pacific Palms
Blueys Beach,located_in,New South Wales
Blueys Beach,backed_by,hilly slopes
Blueys Beach,attracts,tourists
Boomerang Beach,located_in,New South Wales
Boomerang Beach,nearby,Blueys Beach
Elizabeth Beach,located_in,New South Wales
Elizabeth Beach,nearby,Blueys Beach
Civil Twilight,has_debut_album,Civil Twilight
Civil Twilight,released_in,South Africa
Civil Twilight,released_in,United States
Civil Twilight,released_in,United Kingdom
Civil Twilight,has_influences,alternative rock
Civil Twilight,has_influences,classical
Civil Twilight,compared_to,U2
Civil Twilight,compared_to,Muse
Civil Twilight,compared_to,Radiohead
Civil Twilight,has_member,Steven McKellar
Civil Twilight,has_member,Andrew McKeller
Civil Twilight,has_member,Richard Wouters
Civil Twilight,has_member,Kevin Dailey
Deerhunter,formed_in,Atlanta
Deerhunter,has_album,Human
Deerhunter,has_member,Bradford Cox
Deerhunter,has_member,Moses Archuleta
Deerhunter,has_member,Lockett Pundt
Deerhunter,has_member,Josh McKay
Deerhunter,has_member,Javier Morales
Deerhunter,has_member,Rhasaan Manning
Civil Twilight,signed_to,Wind-up Records
Civil Twilight,released_album,Holy Weather
Civil Twilight,released_album,Story of an Immigrant
Gregory D. Hess,president,Wabash College
Gregory D. Hess,professor,"economics, Claremont McKenna College"
Gregory D. Hess,vice president,"academic affairs, Claremont McKenna College"
Gregory D. Hess,professor,"economics, Wabash College"
Gregory D. Hess,dean,"faculty, Wabash College"
Wabash College,affiliated with,Caleb Mills
Caleb Mills,faculty member,Wabash College
Caleb Mills,educator,Wabash College
Caleb Mills,superintendent,"public education system, Indiana"
Caleb Mills,principal,"preparatory school, Wabash College"
Caleb Mills,professor,Dartmouth College
Caleb Mills,professor,Andover Seminary
Caleb Mills,affiliated with,American Baptist Churches USA
Benjamin A. Rogge,economist,Wabash College
Benjamin A. Rogge,college administrator,Wabash College
Benjamin A. Rogge,writer,"libertarian, Wabash College"
Benjamin A. Rogge,speaker,Wabash College
Benjamin A. Rogge,advisor,Liberty Fund
Benjamin A. Rogge,trustee,Liberty Fund
Benjamin A. Rogge,professor,"economics, Wabash College"
Benjamin A. Rogge,PhD,"economics, Northwestern"
Benjamin A. Rogge,A.B. degree,Hastings College
Benjamin A. Rogge,M.A. degree,University of Nebraska Lincoln
Benjamin A. Rogge,co-author,"economics principles textbook, John Van Sickle"
Benjamin A. Rogge,co-author,"economics principles textbook, John Van Sickle"
Benjamin A. Rogge,helped organize,"lectures, Milton Friedman, Wabash College"
Benjamin A. Rogge,helped organize,"lectures, Milton Friedman, Wabash College"
Benjamin A. Rogge,participant,"brainstorming session, Free to Choose, Milton Friedman"
Benjamin A. Rogge,participant,"brainstorming session, Free to Choose, Milton Friedman"
Pierre Goodrich,founder,Liberty Fund
Pierre Goodrich,advisor,"Liberty Fund, Benjamin A. Rogge"
Benjamin A. Rogge,trustee,Liberty Fund
Thomas Sowell,influenced by,Benjamin A. Rogge
Thomas Sowell,book,"economics and race, Benjamin A. Rogge"
Benjamin A. Rogge,presenter,"seminars, Foundation for Economic Education"
Leonard Read,founder,Foundation for Economic Education
Leonard Read,successor,Benjamin A. Rogge
Leonard Read,video clip,"YouTube, Benjamin A. Rogge"
Benjamin A. Rogge,attended,Mont Pelerin Society
Benjamin A. Rogge,documentary,"Adam Smith, Liberty Fund"
Benjamin A. Rogge,narrator,"documentary, Adam Smith, Liberty Fund"
Benjamin A. Rogge,introduction,"quotations, Adam Smith"
Benjamin A. Rogge,speaker series,Wabash College
Wabash College,speaker series,Benjamin A. Rogge
Benjamin A. Rogge,posthumous collection,A Maverick's Defense of Freedom
Wabash College,archives,"Benjamin A. Rogge, Hoover Institute, Stanford University"
William H. Spaulding,football player,UCLA
William H. Spaulding,coach,"football, UCLA"
William H. Spaulding,coach,"basketball, UCLA"
William H. Spaulding,coach,"baseball, UCLA"
William H. Spaulding,tenure,"UCLA, 1925-1938"
William H. Spaulding,record,"UCLA, 72-51-8"
Henry L. Williams,succeeded by,Christopher William Creighton
Henry L. Williams,coach of,Western State Normal School
Henry L. Williams,coach of,Western Michigan University
Henry L. Williams,succeeded by,Spaulding
Spaulding,attended,Wabash College
Spaulding,coached,Western State Normal School
Spaulding,coached,Western Michigan University
Spaulding,coached,University of Minnesota
Spaulding,inducted into,Wabash College Athletic Hall of Fame
Christopher William Creighton,born,"February 7, 1969"
Christopher William Creighton,coached,Ottawa University
Christopher William Creighton,coached,Wabash College
Christopher William Creighton,coached,Drake University
Christopher William Creighton,coached,Eastern Michigan University
Christopher William Creighton,served as head coach,Ottawa University from 1997 to 2000
Christopher William Creighton,served as head coach,Wabash College from 2001 to 2007
Christopher William Creighton,served as head coach,Drake University from 2008 to 2013
Christopher William Creighton,served as head coach,Eastern Michigan University since 2014
Wabash College,has a rivalry with,DePauw University
Wabash College,competes in,North Coast Athletic Conference
Wabash College,has a rivalry trophy with,"DePauw University, Monon Bell"
Wabash College,has a football team that played,Monon Bell Classic
Bibus,is designed for,OpenOffice.org packages
Bibus,is designed for,Microsoft Word
Bibus,is based on,Python
Bibus,is based on,wxWidgets
Bibus,runs on,Microsoft Windows
Bibus,runs on,Linux
Bibus,runs on,OpenBSD
Bibus,runs on,FreeBSD
Bibus,runs on,Mac OS X
HomeBank,runs on,OpenBSD
HomeBank,runs on,Linux
HomeBank,runs on,FreeBSD
HomeBank,runs on,Microsoft Windows
HomeBank,runs on,Mac OS
HomeBank,runs on,AmigaOS
HomeBank,is free software released under,GNU GPL v2+
Homebrew,is a package manager for,Apple's macOS operating system
Homebrew,was written by,Max Howell
Homebrew,is popular in,Ruby on Rails community
Homebrew,has integration with,command line
MacPorts,is a package management system for,macOS
MacPorts,is a package management system for,Darwin operating system
MacPorts,"is an open-source software project)
46. (MacPorts","was started in, 2002"
MacPorts,was started as part of,OpenDarwin project
MacPorts,was started by,Landon Fuller
MacPorts,was started by,Kevin Van Vechten
MacPorts,was started by,Jordan Hubbard
Fink,is similar to,MacPorts
Fink,is similar to,BSDs' ports collections
Ports collections,are used by,FreeBSD
Ports collections,are used by,NetBSD
Ports collections,are used by,OpenBSD
Ports collections,are used by,Gentoo's Portage
Ports collections,are used by,Arch's Arch Build System
Gentoo,uses,Portage
Arch,uses,Arch Build System
University of Minnesota,has a coach,Henry L. Williams
University of Minnesota,has a coach,Spaulding
Western State Normal School,was coached by,Henry L. Williams
Western State Normal School,was coached by,Spaulding
Western Michigan University,was coached by,Spaulding
Wabash College,has a football team that played,1884 Wabash College football team
Wabash College,has a football team that played,Monon Bell Classic
DePauw University,has a rivalry with,Wabash College
DePauw University,competes in,North Coast Athletic Conference
DePauw University,has a rivalry trophy with,"Wabash College, Monon Bell"
North Coast Athletic Conference,has members,Wabash College
North Coast Athletic Conference,has members,DePauw University
National Collegiate Athletic Association,has member,Wabash College
Wabash College,is located in,"Crawfordsville, Indiana, United States"
Crawfordsville,is located in,Indiana
Indiana,is located in,United States
Microsoft Small Business Financials,based on,Microsoft Dynamics GP
Microsoft Small Business Financials,runs on,Microsoft MSDE
Microsoft Small Business Financials,runs on,SQL Server Express
Microsoft Small Business Financials,is a part of,Microsoft Dynamics
Microsoft Dynamics,is a part of,Microsoft Business Solutions
Microsoft Small Business Financials,is a part of,Microsoft Dynamics GP
Open Systems Accounting Software,uses,Microsoft Windows
Open Systems Accounting Software,uses,Linux
Open Systems Accounting Software,uses,Mac OS X
Pristine Sources,is popularized by,Marc Ewing
Pristine Sources,is used by,Red Hat Linux
Pristine Sources,is used by,RPM Package Manager
Red Hat Linux,uses,RPM Package Manager
Red Hat Linux,is built by,Red Hat Inc
OpenBSD Cryptographic Framework,is part of,OpenBSD Project
OpenBSD Cryptographic Framework,is ported to,FreeBSD
OpenBSD Cryptographic Framework,is ported to,NetBSD
OpenBSD Cryptographic Framework,is ported to,Solaris
OpenBSD Cryptographic Framework,is ported to,Linux
OpenBSD Cryptographic Framework,is supported by,Intel
OpenBSD Cryptographic Framework,is used with,Apache HTTP Server
PHYLogeny Inference Package,consists of,C
PHYLogeny Inference Package,is licensed as,open-source software
PHYLogeny Inference Package,is released for,Windows
PHYLogeny Inference Package,is released for,Mac OS 8
PHYLogeny Inference Package,is released for,Mac OS 9
PHYLogeny Inference Package,is released for,OS X
PHYLogeny Inference Package,is released for,Linux
PHYLogeny Inference Package,is released for,Debian
PHYLogeny Inference Package,is released for,Red Hat
PHYLogeny Inference Package,is released for,FreeBSD
Nissan 350Z,is manufactured by,Nissan Motors
Nissan 350Z,is a part of,Nissan Z-car line
Nissan 350Z,is succeeded by,Nissan 370Z
Nissan NX,is produced by,Nissan Motors
Nissan NX,is an evolution of,Nissan Pulsar NX
Nissan NX,is an evolution of,Nissan EXA
Nissan NX,is an evolution of,Nissan Sunny Coupe
Nissan NX,is based on,Nissan B13
Nissan NX,is based on,Nissan N14
ABS,is used by,CRUX
ABS,is used by,Void Linux
CRUX,uses,ABS
Void Linux,uses,Void Linux's Templates
Void Linux,uses,CRUX's Ports
Gentoo,uses,Gentoo's Portage
Arch,uses,Arch Build System
Arch Build System,is used by,Arch
Open Systems Accounting Software,is developed by,"Open Systems, Inc."
Open Systems Accounting Software,is sold by,"Open Systems, Inc."
Nissan 350Z,is known as,Nissan Fairlady Z
Nissan 350Z,is a part of,Nissan 350Z line
Nissan 370Z,is a part of,Nissan 370Z line
Nissan NX,is a part of,Nissan NX line
Nissan Pulsar NX,is a part of,Nissan Pulsar NX line
Nissan EXA,is a part of,Nissan EXA line
Nissan Sunny Coupe,is a part of,Nissan Sunny Coupe line
Nissan B13,is a part of,Nissan B13 line
Nissan N14,is a part of,Nissan N14 line
"1968)
46. Nagesh",acted in,Ethir Neechal (1968
"1968)
48. Sowcar Janaki",acted in,Ethir Neechal (1968
"1968)
50. Sreekanth",acted in,Ethir Neechal (1968
"Frederick John ""Fred"" Perry",won,10 Majors
"Frederick John ""Fred"" Perry",won,Grand Slams
"Frederick John ""Fred"" Perry",won,Pro Slams
"Frederick John ""Fred"" Perry",won,single titles
"Frederick John ""Fred"" Perry",won,Major doubles titles
"Frederick John ""Fred"" Perry",won,Wimbledon Championships
"Frederick John ""Fred"" Perry",won,1934 Wimbledon Championships
"Frederick John ""Fred"" Perry",won,1936 Wimbledon Championships
"Frederick John ""Fred"" Perry",was,World Amateur number one tennis player
"Frederick John ""Fred"" Perry",was,World No. 1
"Frederick John ""Fred"" Perry",was,last British player to win the men's Wimbledon championship
"Frederick John ""Fred"" Perry",was,last British player to win a men's singles Grand Slam title
"Frederick John ""Fred"" Perry",last won the men's Wimbledon championship,1936
Sir Andrew Barron Murray,represents,Great Britain
Sir Andrew Barron Murray,won,men's singles Grand Slam tournament
Sir Andrew Barron Murray,won,Olympic champion
Sir Andrew Barron Murray,won,Davis Cup champion
Sir Andrew Barron Murray,won,ATP World Tour Finals
Sir Andrew Barron Murray,won,Brisbane International
Sir Andrew Barron Murray,defeated,Alexandr Dolgopolov
Sir Andrew Barron Murray,defeated,Novak Djokovic
Sir Andrew Barron Murray,defeated,Roger Federer
Sir Andrew Barron Murray,defeated,David Ferrer
Sir Andrew Barron Murray,lost to,Novak Djokovic
Sir Andrew Barron Murray,lost to,Roger Federer
Sir Andrew Barron Murray,lost to,David Ferrer
Sir Andrew Barron Murray,won,London Olympics
Sir Andrew Barron Murray,won,gold medal
Sir Andrew Barron Murray,was defeated by,Novak Djokovic
